Date,Product,Price,Quantity,Customer
2024-01-01,Laptop,700.0,6,B
2024-01-02,Shoes,1200.0,8,B
2024-01-03,T-shirt,1500.0,2,A
2024-01-04,T-shirt,2000.0,4,C
2024-01-05,T-shirt,1200.0,6,C
2024-01-06,Bag,1200.0,8,C
2024-01-07,T-shirt,1500.0,4,A
2024-01-08,Watch,1500.0,7,C
2024-01-09,Laptop,700.0,7,D
2024-01-10,Shoes,700.0,8,D
2024-01-11,Shoes,700.0,2,A
2024-01-12,Laptop,1500.0,7,B
2024-01-13,Watch,1200.0,1,C
2024-01-14,Bag,1200.0,4,C
2024-01-15,Shoes,2000.0,9,D
2024-01-16,Bag,1500.0,5,A
2024-01-17,Bag,700.0,2,B
2024-01-18,Shoes,1200.0,5,C
2024-01-19,Bag,1500.0,6,A
2024-01-20,Laptop,1200.0,1,A
2024-01-21,T-shirt,1200.0,4,C
2024-01-22,Shoes,1200.0,2,B
2024-01-23,T-shirt,700.0,5,C
2024-01-24,Shoes,2000.0,5,A
2024-01-25,Watch,1200.0,5,D
2024-01-26,T-shirt,1200.0,1,D
2024-01-27,Shoes,500.0,1,A
2024-01-28,Bag,700.0,9,A
2024-01-29,T-shirt,1200.0,5,B
2024-01-30,T-shirt,500.0,7,A
2024-01-31,T-shirt,2000.0,4,B
2024-02-01,Shoes,500.0,4,A
2024-02-02,Bag,1500.0,3,B
2024-02-03,Bag,1200.0,2,C
2024-02-04,Bag,1200.0,3,D
2024-02-05,Shoes,1200.0,2,B
2024-02-06,Watch,500.0,4,D
2024-02-07,Laptop,500.0,5,C
2024-02-08,T-shirt,1200.0,2,B
2024-02-09,T-shirt,700.0,2,C
2024-02-10,Watch,700.0,1,B
2024-02-11,Laptop,500.0,8,D
2024-02-12,Watch,1500.0,9,C
2024-02-13,Shoes,500.0,5,A
2024-02-14,Shoes,1500.0,4,C
2024-02-15,Laptop,500.0,6,B
2024-02-16,Shoes,2000.0,7,D
2024-02-17,Laptop,2000.0,4,A
2024-02-18,Bag,500.0,3,A
2024-02-19,Laptop,700.0,9,C
2024-02-20,Bag,1500.0,2,C
2024-02-21,Watch,2000.0,5,A
2024-02-22,Watch,1500.0,1,C
2024-02-23,Shoes,1200.0,9,D
2024-02-24,Bag,1200.0,4,A
2024-02-25,Bag,700.0,6,A
2024-02-26,Bag,700.0,6,C
2024-02-27,Bag,1200.0,2,C
2024-02-28,T-shirt,700.0,8,B
2024-02-29,T-shirt,1200.0,9,C
2024-03-01,Watch,2000.0,7,A
2024-03-02,T-shirt,1200.0,5,A
2024-03-03,Shoes,1200.0,8,B
2024-03-04,T-shirt,1200.0,4,B
2024-03-05,Laptop,1200.0,6,A
2024-03-06,Bag,2000.0,4,B
2024-03-07,Watch,2000.0,7,A
2024-03-08,Laptop,1200.0,5,C
2024-03-09,T-shirt,1200.0,8,A
2024-03-10,Laptop,1200.0,4,B
2024-03-11,Laptop,1500.0,1,C
2024-03-12,Laptop,1200.0,6,A
2024-03-13,T-shirt,1500.0,4,A
2024-03-14,Laptop,700.0,8,B
2024-03-15,Laptop,1200.0,6,B
2024-03-16,Laptop,2000.0,6,D
2024-03-17,Shoes,1500.0,9,A
2024-03-18,Laptop,1500.0,1,C
2024-03-19,T-shirt,700.0,9,B
2024-03-20,Watch,700.0,4,C
2024-03-21,Shoes,1200.0,7,D
